Scientific Name,Common Names,Category
Abrus precatorius,"Crab's Eye, Jequerity, Precatory Bean, Rosary Pea, Rosarypea, Tento Muido",Vascular Plant
Caesalpinia pulcherrima,"Dwarf Poinciana, Flowerfence, Pride-Of-Barbados",Vascular Plant
Cajanus cajan,Pigeonpea,Vascular Plant
Ceratonia siliqua,"Carob, St. John's Bread",Vascular Plant
Crotalaria pallida var. obovata,Smooth Rattlebox,Vascular Plant
Crotalaria retusa,Rattleweed,Vascular Plant
Desmodium scorpiurus,Scorpion Ticktrefoil,Vascular Plant
Erythrina variegata,Tiger's Claw,Vascular Plant
Indigofera tinctoria,True Indigo,Vascular Plant
Rhynchosia parvifolia,Small-Leaf Snoutbean,Vascular Plant
Senna surattensis,Glossy Shower,Vascular Plant
Sesbania sericea,Papagayo,Vascular Plant
Sesbania vesicaria,Bagpod,Vascular Plant
Allamanda cathartica,Golden Trumpet,Vascular Plant
Cryptostegia grandiflora,Palay Rubbervine,Vascular Plant
Plumeria rubra,"Frangipani, Templetree",Vascular Plant
Stapelia gigantea,Zulu Giant,Vascular Plant
Ruellia tweediana,"Britton's Wild Petunia, Mexican Petunia",Vascular Plant
Tecoma castanifolia,Chestnutleaf Trumpetbush,Vascular Plant
Coleus scutellarioides,Common Coleus,Vascular Plant
Plectranthus amboinicus,Mexican Mint,Vascular Plant
Persea americana,Avocado,Vascular Plant
Calophyllum antillanum,"Alexandrian Laurel, Antilles Calophyllum, Mast Wood, Santa Maria",Vascular Plant
Chamaesyce adenoptera ssp. pergamena,Southern Florida Sandmat,Vascular Plant
Codiaeum variegatum,Garden Croton,Vascular Plant
Euphorbia lactea,Mottled Spurge,Vascular Plant
Euphorbia milii,Christplant,Vascular Plant
Breynia disticha,Snowbush,Vascular Plant
Malvaviscus arboreus var. drummondii,Wax Mallow,Vascular Plant
Sida antillensis,Antilles Fanpetals,Vascular Plant
Lawsonia inermis,Henna,Vascular Plant
Pandanus tectorius,"Pandan, Tahitian Screwpine, Textile Screwpine, Thatch Screwpine",Vascular Plant
Araucaria columnaris,New Caledonia Pine,Vascular Plant
Cenchrus tribuloides,Sanddune Sandbur,Vascular Plant
Digitaria horizontalis,Jamaican Crabgrass,Vascular Plant
Eragrostis prolifera,Dominican Lovegrass,Vascular Plant
Sporobolus purpurascens,Purple Dropseed,Vascular Plant
Ficus benjamina,Weeping Fig,Vascular Plant
Ficus elastica,"Indian Rubber Fig, Indian Rubberplant",Vascular Plant
Ficus hispida,None,Vascular Plant
Ficus palmata,Punjab Fig,Vascular Plant
Ficus sycomorus,Sycamore Fig,Vascular Plant
Raphiolepis umbellata,None,Vascular Plant
Murraya paniculata,"Chinese Box, Orange-Jessamine",Vascular Plant
Evolvulus alsinoides,"Slender Dwarf Morningglory, Slender Dwarf Morning-Glory",Vascular Plant
Solanum tampicense,"Aquatic Soda Apple, Scrambling Nightshade, Wetland Nightshade",Vascular Plant
Musa X paradisiaca,"Banana, French Plantain, Plantain",Vascular Plant
Guaiacum sanctum,"Holywood, Roughbark Lignumvitae",Vascular Plant
Agaricia grahamae,None,Invertebrate
Agaricia lamarcki,Sheet Coral,Invertebrate
Manicina areolata,Rose Coral,Invertebrate
Isophyllia sinuosa,"Lesser Cactus Coral, Sinuous Cactus Coral",Invertebrate
Mycetophyllia ferox,Rough Cactus Coral,Invertebrate
Scolymia cubensis,Artichoke Coral,Invertebrate
Scolymia lacera,Atlantic Mushroom Coral,Invertebrate
Oculina diffusa,"Diffuse Ivory Coral, Ivory Bush Coral",Invertebrate
Puma concolor coryi,Florida Panther,Mammal
Lasiurus intermedius,"Northern Yellow Bat, Northern Yellow Bat",Mammal
Neofiber alleni,Round-Tailed Muskrat,Mammal
Peromyscus gossypinus allapaticola,Key Largo Cotton Mouse,Mammal
Sciurus niger avicennia,Big Cypress Fox Squirrel,Mammal
Rostrhamus sociabilis,Snail Kite,Bird
Rostrhamus sociabilis plumbeus,Everglade Snail Kite,Bird
Anas bahamensis,White-Cheeked Pintail,Bird
Nomonyx dominicus,Masked Duck,Bird
Calidris acuminata,Sharp-Tailed Sandpiper,Bird
Calidris ferruginea,Curlew Sandpiper,Bird
Limosa lapponica,Bar-Tailed Godwit,Bird
Limosa limosa,Black-Tailed Godwit,Bird
Fulica caribaea,Caribbean Coot,Bird
Ammodramus maritimus mirabilis,Cape Sable Seaside Sparrow,Bird
Icterus pectoralis,Spot-Breasted Oriole,Bird
Dendroica discolor paludicola,Florida Prairie Warbler,Bird
Dendroica kirtlandii,Kirtland's Warbler,Bird
Tiaris bicolor,Black-Faced Grassquit,Bird
Tyrannus savana,Fork-Tailed Flycatcher,Bird
Vireo crassirostris,Thick-Billed Vireo,Bird
Ardea herodias occidentalis,Great White Heron,Bird
Brotogeris versicolurus,"Canary-Winged Parakeet, White-Winged Parakeet",Bird
Melopsittacus undulatus,Budgerigar,Bird
Myiopsitta monachus,Monk Parakeet,Bird
Psittacula krameri,Rose-Ringed Parakeet,Bird
Caiman crocodilus,"Common Caiman, Spectacled Caiman",Reptile
Ophisaurus compressus,Island Glass Lizard,Reptile
Cemophora coccinea coccinea,Florida Scarlet Snake,Reptile
Lampropeltis getula floridana,Florida Kingsnake,Reptile
Lampropeltis triangulum elapsoides,Scarlet Kingsnake,Reptile
Nerodia floridana,Florida Green Water Snake,Reptile
Regina alleni,Striped Crayfish Snake,Reptile
Seminatrix pygaea cyclas,South Florida Swamp Snake,Reptile
Storeria dekayi victa,Florida Brown Snake,Reptile
Thamnophis sauritus nitae,Blue-Striped Ribbon Snake,Reptile
Thamnophis sauritus sackenii,Peninsula Ribbon Snake,Reptile
Thamnophis sirtalis similis,Blue-Striped Garter Snake,Reptile
Thamnophis sirtalis sirtalis,Common Garter Snake,Reptile
Micrurus fulvius fulvius,Eastern Coral Snake,Reptile
Gekko gecko,"Tokay Gecko, Tokay Gekko",Reptile
Hemidactylus tursicus tursicus,None,Reptile
Python molorus bivittatus,None,Reptile
Python molurus bivittatus,None,Reptile
Rhamphotyphlops braminus,None,Reptile
Agkistrodon piscivorus conanti,Florida Cottonmouth,Reptile
Eretmochelys imbricata imbricata,"Atlantic Hawksbill, Atlantic Hawksbill Sea Turtle, Atlantic Hawksbill Turtle",Reptile
Chelydra serpentina osceola,Florida Snapping Turtle,Reptile
Deirochelys reticularia chrysea,Florida Chicken Turtle,Reptile
Malaclemys terrapin macrospilota,"Ornate Diamondback Terrapin, Ornate Diamond-Backed Terrapin",Reptile
Pseudemys floridana floridana,Florida Cooter,Reptile
Pseudemys floridana peninsularis,Peninsula Cooter,Reptile
Pseudemys nelsoni,Florida Red-Bellied Cooter,Reptile
Kinosternon subrubrum steindachneri,Florida Mud Turtle,Reptile
Gopherus polyphemus,Gopher Tortoise,Reptile
Apalone ferox,"Florida Softshell, Florida Softshell Turtle",Reptile
Bufo quercicus,Oak Toad,Amphibian
Eleutherodactylus planirostris,Greenhouse Frog,Amphibian
Acris gryllus dorsalis,Florida Cricket Frog,Amphibian
Pseudacris nigrita verrucosa,Florida Chorus Frog,Amphibian
Rana grylio,Pig Frog,Amphibian
Notophthalmus viridescens piaropicola,Peninsula Newt,Amphibian
Pseudobranchus axanthus belli,Everglades Dwarf Siren,Amphibian
Gymnothorax nigromarginatus,Blackedge Moray,Fish
Bascanichthys bascanium,Sooty Eel,Fish
Echiophis intertinctus,Spotted Spoon-Nose Eel,Fish
Myrophis,Worm Eels,Fish
Ophichthus gomesi,Shrimp Eel,Fish
Labidesthes sicculus vanhyningi,Southern Brook Silverside,Fish
Membras,"Rough Silversides, Smoothscaled Silversides",Fish
Menidia conchorum,Key Silverside,Fish
Menidia martinica,Rough Silverside,Fish
Menidia peninsulae,Tidewater Silverside,Fish
Porichthys porosissimus,Atlantic Midshipman,Fish
Strongylura acus,Agujon Needlefish,Fish
Cypselurus furcatus,None,Fish
Prognichthys gibbifrons,Bluntnose Flyingfish,Fish
Brevoortia,Menhadens,Fish
Brevoortia gunteri,Finescale Menhaden,Fish
Brevoortia patronus,Gulf Menhaden,Fish
Sardinella brasiliensis,Orangespot Sardine,Fish
Anchoviella,None,Fish
Opsopoeodus emiliae,Pugnose Minnow,Fish
Cyprinodon riverendi,None,Fish
Fundulus grandis saguanus,Cuban Gulf Killifish,Fish
Megalops cyprinoides,"Indo-Pacific Tarpon, Oxeye",Fish
Micrognathus criniger,None,Fish
Ogcocephalus radiatus,"Batfish, Polka-Dot Batfish",Fish
Mugil gaimardianus,Redeye Mullet,Fish
Gunterichthys longipenis,Gold Brotula,Fish
Ophidion holbrooki,Bank Cusk-Eel,Fish
Ophidion marginatum,Striped Cusk-Eel,Fish
Ophidion welshi,Crested Cusk-Eel,Fish
Rissola marginata,Striped Cusk-Eel,Fish
Blennius cristatus,Molly Miller,Fish
Chasmodes bosquianus,Striped Blenny,Fish
Lupinoblennius nicholsi,Highfin Blenny,Fish
Hemicaranx,None,Fish
Lepomis punctatus punctatus,"Eastern Stumpknocker, Spotted Sunfish",Fish
Micropterus salmoides floridanus,Florida Largemouth Bass,Fish
Cichlasoma citrinellum,Midas Cichlid,Fish
Cichlasoma cyanoguttatum,"Rio Grande Cichlid, Rio Grande Perch",Fish
Cichlasoma managuense,Jaguar Cichlid,Fish
Cichlasoma meeki,Firemouth Cichlid,Fish
Cichlasoma octofasciatum,"Eightbanded Cichlid, Jack Dempsey",Fish
Cichlasoma urophthalmus,Peacock Bass,Fish
Eleotris pisonis,Spinycheek Sleeper,Fish
Diapterus plumieri,Striped Mojarra,Fish
Eucinostomus lefroyi,Mottled Mojarra,Fish
Gobionellus boleosoma,Darter Goby,Fish
Gobionellus gracillimus,None,Fish
Gobionellus hastatus,None,Fish
Gobionellus saepepallens,Dash Goby,Fish
Gobionellus shufeldti,Freshwater Goby,Fish
Gobionellus smaragdus,Emerald Goby,Fish
Gobiosoma illecebrosum,None,Fish
Gobiosoma macrodon,Tiger Goby,Fish
Microgobius thalassinus,Green Goby,Fish
Haemulon bonariense,Black Grunt,Fish
Microdesmus,Wormfish,Fish
Polynemus octonemus,None,Fish
Stegastes planifrons leucostictus,None,Fish
Scarus isertae,None,Fish
Bairdiella batabana,Blue Croaker,Fish
Cynoscion nothus,Silver Seatrout,Fish
Larimus fasciatus,Banded Drum,Fish
Pogonias cromis,Black Drum,Fish
Stellifer lanceolatus,Star Drum,Fish
Centropristis melanus,None,Fish
Centropristis striata,Black Sea Bass,Fish
Rypticus maculatus,Soapfish,Fish
Serraniculus pumilio,Pygmy Sea Bass,Fish
Serranus subligarius,Belted Sandfish,Fish
Peprilus alepidotus,Harvestfish,Fish
Aphrododerus sayanus,Pirate Perch,Fish
Trinectes lineatus,None,Fish
Symphurus diomedianus,Spottedfin Tonguefish,Fish
Ancylopsetta quadrocellata,Ocellated Flounder,Fish
Etropus crossotus,Fringed Flounder,Fish
Paralichthys lethostigma,Southern Flounder,Fish
Paralichthys squamilentus,Broad Flounder,Fish
Syacium gunteri,Shoal Flounder,Fish
Dipturus laevis,Barndoor Skate,Fish
Lepisosteus,Slender Gars,Fish
Hoplosternum littoralis,Brown Hoplo,Fish
Monopterus albus,Asian Swamp Eel,Fish
Chilomycterus schoepfi,Striped Burrfish,Fish
Sphoeroides parvus,Least Puffer,Fish
Chamaesyce pergamena,None,Vascular Plant
Nephrolepis hirsutula cv. superba,None,Vascular Plant
Sagittaria filiformis,Threadleaf Arrowhead,Vascular Plant
Sagittaria graminea var. graminea,Grassy Arrowhead,Vascular Plant
Colocasia esculenta,"Coco Yam, Wild Taro",Vascular Plant
Lemna obscura,Little Duckweed,Vascular Plant
Monstera deliciosa,Tarovine,Vascular Plant
Philodendron domesticum,None,Vascular Plant
Philodendron selloum,Philodendron,Vascular Plant
Pistia stratiotes,"Apon-Apon, Pistie, Tropical Duckweed, Water Lettuce, Water-Lettuce",Vascular Plant
Spirodela polyrhiza,Giant Duckweed,Vascular Plant
Wolffiella oblonga,Saber Bogmat,Vascular Plant
Xanthosoma sagittifolium,Arrowleaf Elephant's Ear,Vascular Plant
Hydrilla verticillata,"Florida Elodea, Hydrilla, Water Thyme, Waterthyme, Water-Thyme",Vascular Plant
Najas guadalupensis var. floridana,Florida Waternymph,Vascular Plant
Najas wrightiana,Wright's Waternymph,Vascular Plant
Triglochin striata,Three-Rib Arrowgrass,Vascular Plant
Potamogeton illinoensis,Illinois Pondweed,Vascular Plant
Eryngium yuccifolium,"Button Eryngo, Button Snakeroot, Yuccaleaf Eryngo",Vascular Plant
Oxypolis filiformis,Water Cowbane,Vascular Plant
Ilex cassine,Dahoon,Vascular Plant
Ilex krugiana,"Tawnyberry, Tawnyberry Holly",Vascular Plant
Adonidia merrillii,None,Vascular Plant
Archontophoenix alexandrae,Alexandra Palm,Vascular Plant
Chamaedorea seifrizii,Seifriz's Chamaedorea,Vascular Plant
Dypsis lutescens,Yellow Butterfly Palm,Vascular Plant
Hyophorbe verschaffelti,None,Vascular Plant
Phoenix roebelenii,Pygmy Date Palm,Vascular Plant
Ptychosperma elegans,"Alexander Palm, Solitary Palm",Vascular Plant
Roystonea regia,"Cuban Royal Palm, Florida Royal Palm",Vascular Plant
Syagrus romanzoffiana,None,Vascular Plant
Crinum americanum,Seven Sisters,Vascular Plant
Crinum zeylanicum,Milk-And-Wine-Lily,Vascular Plant
Hymenocallis palmeri,Alligatorlily,Vascular Plant
Schoenolirion albiflorum,White Sunnybell,Vascular Plant
Yucca guatemalensis,Bluestem Yucca,Vascular Plant
Hypoxis wrightii,Wright's Star-Grass,Vascular Plant
Basiphyllaea corallicola,Carter's Orchid,Vascular Plant
Brassia caudata,Cricket Orchid,Vascular Plant
Calopogon multiflorus,Manyflower Grasspink,Vascular Plant
Cranichis muscosa,Cypress-Knee Helmet Orchid,Vascular Plant
Cyrtopodium punctatum,Cowhorn Orchid,Vascular Plant
Eltroplectris calcarata,Longclaw Orchid,Vascular Plant
Encyclia cochleata var. triandra,Clamshell Orchid,Vascular Plant
Epidendrum anceps,Brown-Flower Butterfly Orchid,Vascular Plant
Epidendrum boricuarum,Fleshy Star Orchid,Vascular Plant
Epidendrum conopseum,Green Fly Orchid,Vascular Plant
Epidendrum difforme,Umbrella Star Orchid,Vascular Plant
Epidendrum floridense,None,Vascular Plant
Epidendrum nocturnum,Night Scented Orchid,Vascular Plant
Epidendrum rigidum,Stiff Flower Star Orchid,Vascular Plant
Eulophia alta,Wild Coco,Vascular Plant
Galeandra beyrichii,Beyrich's Hooded Orchid,Vascular Plant
Govenia utriculata,Tropical Govenia,Vascular Plant
Habenaria floribunda,Toothpetal Bog Orchid,Vascular Plant
Habenaria quinqueseta,"Longhorn Bog Orchid, Longhorn False Reinorchid",Vascular Plant
Ionopsis utricularioides,Delicate Violet Orchid,Vascular Plant
Liparis nervosa,Pantropical Widelip Orchid,Vascular Plant
Macradenia lutescens,Longgland Orchid,Vascular Plant
Maxillaria crassifolia,Hidden Orchid,Vascular Plant
Mesadenus polyanthus,None,Vascular Plant
Oncidium carthaginense,Coot Bay Dancing-Lady Orchid,Vascular Plant
Oncidium ensatum,"Florida Orchid, Latin American Orchid",Vascular Plant
Oncidium undulatum,Cape Sable Orchid,Vascular Plant
Pelexia adnata,None,Vascular Plant
Platythelys querceticola,Jug Orchid,Vascular Plant
Pleurothallis gelida,None,Vascular Plant
Polyradicion lindenii,Palmpolly,Vascular Plant
Ponthieva brittoniae,Britton's Shadow Witch,Vascular Plant
Ponthieva racemosa,Hairy Shadow Witch,Vascular Plant
Prescotia oligantha,Small Prescott Orchid,Vascular Plant
Sacoila lanceolata,None,Vascular Plant
Sacoila lanceolata var. paludicola,None,Vascular Plant
Spiranthes costaricensis,"Costa Rican Ladies'-Tresses, Costa Rican Lady's Tresses",Vascular Plant
Spiranthes cranichoides,Cranichis Ladiestresses,Vascular Plant
Spiranthes laciniata,"Lacelip Ladiestresses, Lacelip Ladies'-Tresses, Lacelip Lady's Tresses",Vascular Plant
Spiranthes lanceolata var. paludicola,Leafless Beaked Ladiestresses,Vascular Plant
Spiranthes torta,"Southern Ladies'-Tresses, Southern Lady's Tresses",Vascular Plant
Spiranthes vernalis,"Spring Ladies'-Tresses, Spring Lady's Tresses, Upland Ladiestresses",Vascular Plant
Vanilla barbellata,Wormvine Orchid,Vascular Plant
Vanilla dilloniana,Leafless Vanilla,Vascular Plant
Vanilla phaeantha,Leafy Vanilla,Vascular Plant
Zeuxine strateumatica,Soldier's Orchid,Vascular Plant
Ageratina jucunda,"Hammock Snakeroot, Lesser Snakeroot",Vascular Plant
Arnoglossum ovatum,Ovateleaf Cacalia,Vascular Plant
Aster adnatus,Scaleleaf Aster,Vascular Plant
Aster carolinianus,None,Vascular Plant
Aster concolor,Eastern Silver Aster,Vascular Plant
Aster patens,Late Purple Aster,Vascular Plant
Boltonia diffusa,Smallhead Doll's Daisy,Vascular Plant
Chaptalia albicans,White Sunbonnets,Vascular Plant
Chromolaena frustrata,Cape Sable Thoroughwort,Vascular Plant
Cirsium horridulum,Yellow Thistle,Vascular Plant
Coreopsis leavenworthii,Leavenworth's Tickseed,Vascular Plant
Eupatorium mikanioides,Semaphore Thoroughwort,Vascular Plant
Eupatorium mohrii,Mohr's Thoroughwort,Vascular Plant
Hieracium megacephalon,Coastalplain Hawkweed,Vascular Plant
Iva microcephala,"Piedmont Marsh Elder, Piedmont Marshelder",Vascular Plant
Koanophyllon villosum,Florida Keys Thoroughwort,Vascular Plant
Liatris gracilis,Slender Blazing Star,Vascular Plant
Liatris tenuifolia var. tenuifolia,Shortleaf Blazing Star,Vascular Plant
Melanthera angustifolia,Everglades Squarestem,Vascular Plant
Melanthera parvifolia,Small-Leaf Squarestem,Vascular Plant
Palafoxia feayi,Feay's Palafox,Vascular Plant
Pityopsis graminifolia,Narrowleaf Silkgrass,Vascular Plant
Pseudelephantopus spicatus,Dog's-Tongue,Vascular Plant
Pterocaulon pycnostachyum,Dense-Spike Blackroot,Vascular Plant
Sachsia polycephala,Bahama Sachsia,Vascular Plant
Senecio glabellus,"Butterweed, Cressleaf, Cressleaf Groundsel",Vascular Plant
Solidago fistulosa,"Pine Barren Goldenrod, Pinebarren Goldenrod",Vascular Plant
Solidago odora var. chapmanii,Chapman's Goldenrod,Vascular Plant
Solidago stricta,Wand Goldenrod,Vascular Plant
Synedrella nodiflora,Nodeweed,Vascular Plant
Vernonia blodgettii,Florida Ironweed,Vascular Plant
Lobelia glandulosa,Glade Lobelia,Vascular Plant
Nymphoides aquatica,Big Floatingheart,Vascular Plant
Bourreria cassinifolia,Smooth Strongbark,Vascular Plant
Tournefortia hirsutissima,Chiggery Grapes,Vascular Plant
Cardamine flexuosa,Woodland Bittercress,Vascular Plant
Cleome rutidosperma,"Consumption Weed, Fringed Spiderflower",Vascular Plant
Achyranthes aspera var. pubescens,Devil's Horsewhip,Vascular Plant
Amaranthus australis,Southern Amaranth,Vascular Plant
Amaranthus blitum,Purple Amaranth,Vascular Plant
Anredera vesicaria,Texas Madeiravine,Vascular Plant
Cereus hildmannianus,Hedge Cactus,Vascular Plant
Cereus repandus,None,Vascular Plant
Rhipsalis baccifera,Mistletoe Cactus,Vascular Plant
Selenicereus pteranthus,Princess Of The Night,Vascular Plant
Drymaria cordata,"Chickweed, Whitesnow",Vascular Plant
Plumbago auriculata,Cape Leadwort,Vascular Plant
Plumbago scandens,Leadwort,Vascular Plant
Antigonon leptopus,"Confederate Vine, Coral Vine, Mexican Coral Vine, Mexican Creeper, Queen's Jewels, Queen's Wreath",Vascular Plant
Polygonum densiflorum,Denseflower Knotweed,Vascular Plant
Portulaca rubricaulis,Redstem Purslane,Vascular Plant
Commelina diffusa var. diffusa,Climbing Dayflower,Vascular Plant
Eichhornia crassipes,"Common Water Hyacinth, Common Water-Hyacinth, Floating Water Hyacinth, Floating Waterhyacinth, Lirio Acuatico, Mbekambekairanga, Water Hyacinth",Vascular Plant
Heteranthera limosa,"Blue Mudplantain, Ducksalad, Mud Plantain",Vascular Plant
Begonia cucullata,Clubed Begonia,Vascular Plant
Cycas circinalis,Queen Sago,Vascular Plant
Cycas revoluta,Sago Palm,Vascular Plant
Apteria aphylla,Nodding Nixie,Vascular Plant
Dioscorea bulbifera,"Air Potato, Air Yam, Bitter Yam",Vascular Plant
Aletris bracteata,Bracted Colicroot,Vascular Plant
Aletris lutea,Yellow Colicroot,Vascular Plant
Vaccinium myrsinites,"Florida Evergreen Blueberry, Shiny Blueberry",Vascular Plant
Rapanea punctata,Florida Rapanea,Vascular Plant
Mimusops balata,None,Vascular Plant
Sideroxylon reclinatum ssp. austrofloridense,"Everglades Bully, Florida Bully",Vascular Plant
Sideroxylon reclinatum ssp. reclinatum,Florida Bully,Vascular Plant
Acacia pinetorum,Pineland Wattle,Vascular Plant
Acacia tortuosa,"Huisachillo, Poponax, Twisted Acacia",Vascular Plant
Aeschynomene americana,Shyleaf,Vascular Plant
Aeschynomene pratensis,Meadow Jointvetch,Vascular Plant
Albizia lebbeck,"Lebbek, Raom Tree, Siris Tree, Soros-Tree, Woman's Tongue, Woman's-Tongue Tree",Vascular Plant
Amorpha herbacea var. crenulata,"Clusterspike False Indigo, Crenulate Lead-Plant",Vascular Plant
Bauhinia purpurea,Butterfly Tree,Vascular Plant
Canavalia brasiliensis,Brazilian Jackbean,Vascular Plant
Cassia fistula,Golden Shower,Vascular Plant
Chamaecrista deeringiana,Florida Keys Sensitive Pea,Vascular Plant
Chamaecrista lineata var. keyensis,"Big Pine Partridge Pea, Narrowpod Sensitive Pea",Vascular Plant
Crotalaria incana,Shakeshake,Vascular Plant
Dalea carthagenensis var. floridana,Florida Prairie-Clover,Vascular Plant
Derris indica,Pongame Oiltree,Vascular Plant
Desmodium lineatum,Sand Ticktrefoil,Vascular Plant
Desmodium marilandicum,"Maryland Tickclover, Smooth Small-Leaf Ticktrefoil",Vascular Plant
Desmodium tortuosum,"Dixie Tick Trefoil, Dixie Ticktrefoil",Vascular Plant
Galactia parvifolia,Small-Leaf Milkpea,Vascular Plant
Galactia pinetorum,Pineland Milkpea,Vascular Plant
Galactia smallii,Small's Milkpea,Vascular Plant
Indigofera miniata,"Coastal Indigo, Western Indigo",Vascular Plant
Indigofera miniata var. florida,Florida Indigo,Vascular Plant
Indigofera suffruticosa,"Anil De Pasto, Indigobush",Vascular Plant
Neptunia pubescens,"Tropical Neptunia, Tropical Puff",Vascular Plant
Peltophorum pterocarpum,None,Vascular Plant
Rhynchosia cinerea,Brownhair Snoutbean,Vascular Plant
Rhynchosia phaseoloides,Crabseye,Vascular Plant
Senna ligustrina,Privet Senna,Vascular Plant
Senna mexicana var. chapmanii,Chapman's Senna,Vascular Plant
Tephrosia florida,Florida Hoarypea,Vascular Plant
Vicia acutifolia,"Fourleaf Vetch, Sand Vetch",Vascular Plant
Polygala balduinii,Baldwin's Milkwort,Vascular Plant
Polygala boykinii,Boykin's Milkwort,Vascular Plant
Quercus virginiana,Live Oak,Vascular Plant
Angadenia berteroi,Pineland Golden Trumpet,Vascular Plant
Asclepias curassavica,"Bloodflower, Hierba De La Cucaracha, Scarlet Milkweed, Wild Ipecacuanha",Vascular Plant
Asclepias lanceolata,Fewflower Milkweed,Vascular Plant
Asclepias longifolia,Longleaf Milkweed,Vascular Plant
Carissa macrocarpa,Amatungulu,Vascular Plant
Cryptostegia madagascariensis,"Madagascar Rubbervine, Rubber Vine",Vascular Plant
Cynanchum blodgettii,Blodgett's Swallow-Wort,Vascular Plant
Sabatia grandiflora,Largeflower Rose Gentian,Vascular Plant
Sabatia stellaris,Rose Of Plymouth,Vascular Plant
Voyria parasitica,Parasitic Ghostplant,Vascular Plant
Galium hispidulum,Purple Galium,Vascular Plant
Hedyotis nigricans var. floridana,Florida Diamondflowers,Vascular Plant
Hedyotis uniflora,None,Vascular Plant
Ixora coccinea,Scarlet Jungleflame,Vascular Plant
Oldenlandia corymbosa,"Flattop Mille Graines, Flat-Top Mille Graines",Vascular Plant
Pentodon pentandrus,Hale's Pentodon,Vascular Plant
Psychotria sulzneri,None,Vascular Plant
Richardia brasiliensis,Tropical Mexican Clover,Vascular Plant
Spermacoce prostrata,Prostrate False Buttonweed,Vascular Plant
Spermacoce terminalis,Everglades Key False Buttonweed,Vascular Plant
Spermacoce tetraquetra,Pineland False Buttonweed,Vascular Plant
Trichomanes krausii,Treemoss Bristle Fern,Vascular Plant
Trichomanes punctatum ssp. floridanum,"Dotted Bristle Fern, Florida Bristle Fern",Vascular Plant
Dyschoriste angusta,Pineland Snakeherb,Vascular Plant
Dyschoriste oblongifolia,Oblongleaf Snakeherb,Vascular Plant
Elytraria caroliniensis var. angustifolia,Carolina Scalystem,Vascular Plant
Justicia angusta,Pineland Water-Willow,Vascular Plant
Ruellia succulenta,Carolina Wild Petunia,Vascular Plant
Stenandrium dulce,Sweet Shaggytuft,Vascular Plant
Thunbergia fragrans,Whitelady,Vascular Plant
Macfadyena unguis-cati,"Catclaw Vine, Claw Vine",Vascular Plant
Spathodea campanulata,"African Tuliptree, Fireball, Fountain Tree, Rarningobchey",Vascular Plant
Clerodendrum bungei,"Rose Glorybower, Strong-Scented Glorybower",Vascular Plant
Clerodendrum speciosissimum,Javanese Glorybower,Vascular Plant
Hyptis mutabilis,Tropical Bushmint,Vascular Plant
Hyptis pectinata,"Comb Bushmint, Comb Hyptis, Mint Weed, Mumutun Lahe, Purple Top, Timothi Ni Vavalangi",Vascular Plant
Hyptis spicigera,Marubio,Vascular Plant
Leonotis nepetifolia,Christmas Candlestick,Vascular Plant
Ocimum campechianum,Least Basil,Vascular Plant
Salvia occidentalis,West Indian Sage,Vascular Plant
Salvia riparia,Florida Keys Sage,Vascular Plant
Scutellaria havanensis,Havana Skullcap,Vascular Plant
Trichostema dichotomum,"Blue Curls, Forked Bluecurls",Vascular Plant
Vitex trifolia,Simpleleaf Chastetree,Vascular Plant
Pinguicula pumila,Small Butterwort,Vascular Plant
Utricularia subulata,Zigzag Bladderwort,Vascular Plant
Lindernia crustacea,Malaysian False Pimpernel,Vascular Plant
Lindernia grandiflora,Savannah False Pimpernel,Vascular Plant
Forestiera segregata,"Florida Privet, Florida Swampprivet",Vascular Plant
Agalinis linifolia,Flaxleaf False Foxglove,Vascular Plant
Agalinis maritima,"Saltmarsh False Foxglove, Seaside Gerardia",Vascular Plant
Agalinis purpurea,Purple False Foxglove,Vascular Plant
Bacopa caroliniana,Blue Waterhyssop,Vascular Plant
Conobea multifida,None,Vascular Plant
Gratiola ramosa,Branched Hedgehyssop,Vascular Plant
Mecardonia acuminata ssp. peninsularis,None,Vascular Plant
Mecardonia acuminata var. peninsularis,Axilflower,Vascular Plant
Russelia equisetiformis,Fountainbush,Vascular Plant
Scoparia dulcis,Licorice Weed,Vascular Plant
Stemodia durantifolia,"Whitewoolly Twintip, White-Woolly Twintip",Vascular Plant
Glandularia maritima,Coastal Mock Vervain,Vascular Plant
Lantana depressa var. depressa,Depressed Shrubverbena,Vascular Plant
Lantana depressa var. floridana,Florida Shrubverbena,Vascular Plant
Lantana depressa var. sanibelensis,Sanibel Shrubverbena,Vascular Plant
Lantana montevidensis,Trailing Shrubverbena,Vascular Plant
Annona squamosa,"Sugar Apple, Sweet Sop",Vascular Plant
Asimina reticulata,Netted Pawpaw,Vascular Plant
Licania michauxii,Gopher Apple,Vascular Plant
Acalypha amentacea ssp. wilkesiana,Wilkes' Acalypha,Vascular Plant
Acalypha ostryifolia,"Hophornbeam Copperleaf, Pineland Threeseed Mercury",Vascular Plant
Caperonia castaneifolia,Chestnutleaf False Croton,Vascular Plant
Chamaesyce deltoidea ssp. pinetorum,"Pineland Sandmat, Wedge Sandmat",Vascular Plant
Chamaesyce garberi,"Garber's Sandmat, Garber's Spurge",Vascular Plant
Croton glandulosus var. floridanus,Vente Conmigo,Vascular Plant
